experiment,platform,experiment_root,num_runs,num_images,oof_weighted_r2,Dry_Green_g_corr,Dry_Green_g_mae,Dry_Green_g_rmse,Dry_Green_g_weighted_component,Dry_Dead_g_corr,Dry_Dead_g_mae,Dry_Dead_g_rmse,Dry_Dead_g_weighted_component,Dry_Clover_g_corr,Dry_Clover_g_mae,Dry_Clover_g_rmse,Dry_Clover_g_weighted_component,GDM_g_corr,GDM_g_mae,GDM_g_rmse,GDM_g_weighted_component,Dry_Total_g_corr,Dry_Total_g_mae,Dry_Total_g_rmse,Dry_Total_g_weighted_component
dinov3-vitl-896-timm,H200,artifacts/server/dinov3-vitl-896-timm,6,357,0.493333939764351,0.7475436221076696,11.795874168417365,17.227634253152104,0.5387249808185841,0.1201093710681101,8.908717577030814,13.013818481449091,-0.10418989343843288,-0.24981197120503493,6.821704304696731,13.358315166326404,-0.218643923080881,0.8149326737677535,10.361982615546218,14.57837153817239,0.6572409870542816,0.8299006129869668,10.905102608543418,15.793302480450668,0.6805932518471354
dinov3-vitl-1024-timm,H200,artifacts/server/dinov3-vitl-1024-timm,6,357,0.4913738777031448,0.7394267491848078,11.848203658963586,17.363789916952843,0.5314049517752621,0.1250274078184157,8.920608490896358,12.994726070883496,-0.10095238363182535,-0.25230833862379987,6.8458244591977415,13.37340577029811,-0.22139883042261066,0.8061226048562413,10.348745483193277,14.829250533712276,0.6453424089532669,0.8286841483065115,10.865656407563026,15.73864967671849,0.6828000442808175
dinov3-vithplus-896-timm,H200,artifacts/server/dinov3-vithplus-896-timm,6,357,0.487280167399356,0.7652978413653049,11.4053162464986,16.658050420469188,0.5687223085755879,0.05778578192404411,9.002394292717087,13.158561630538234,-0.12888867415002525,-0.23783615538889,6.793576867496267,13.322999542849935,-0.2122089377813987,0.8203812070445768,10.434981407563026,14.366912280728965,0.6671123102223188,0.8160994854073848,11.543315756302519,16.241900940522168,0.6621904713809517
dinov2-vitl-reg4-518,H200,artifacts/server/dinov2-vitl-reg4-518,6,357,0.4686587279191118,0.7142716354485862,12.302975927871147,18.1749346379485,0.4866017724962072,0.11809995240220864,8.865901908263304,12.98429333555063,-0.09918530765653188,-0.25769504293535195,6.828558087824973,13.397516303323345,-0.2258068508394131,0.7985871433032193,10.861235784313726,15.301437788857584,0.6223970863119518,0.8171965419305142,11.384125980392156,16.389170148932603,0.6560366985133904
dinov2-vitg-reg4-518,H200,artifacts/server/dinov2-vitg-reg4-518,6,357,0.46045043135524033,0.7253953364007925,12.06152193627451,18.02737920500008,0.4949041061597017,0.07394527775444416,8.886555304621849,13.060669049776552,-0.11215451092861395,-0.25964065219672566,6.8305144261806285,13.34935479637622,-0.21700960947014059,0.8085088502448216,10.60541600140056,15.165363377906461,0.6290832064556158,0.8087804650681105,11.617539075630251,16.85699862868079,0.6361195829760449
dinov2-vitg-518,H200,artifacts/server/dinov2-vitg-518,6,357,0.45461968198637415,0.7189807265366633,11.981837675070029,18.008288458210018,0.49597331893693,0.052770878534914446,9.011974369747898,13.166883182155216,-0.1303169572829852,-0.24731803957896134,6.792902545627626,13.326382005870899,-0.21282453074626773,0.8092709314532717,10.442753851540616,14.983312632771877,0.6379350057973597,0.7978949270490271,11.665040616246499,17.146835413648347,0.623498995472269
dinov2-vitl-518,L40,artifacts/server/dinov2-vitl-518,6,357,0.43469774247886117,0.6772908024288055,12.328204411764707,19.057936395161956,0.4355046147447371,0.10254608567392182,8.896014390756301,13.124893417361712,-0.12311919244551328,-0.2625923620072087,6.7939501190954905,13.414213554210738,-0.22886418749730564,0.7913155432706003,10.678833683473387,15.700225584472491,0.6024583463218851,0.7917021031199963,11.821050490196075,17.413264116341225,0.6117078994685846
siglip-so400m-384,L40,artifacts/server/siglip-so400m-384,6,357,0.0694691849065068,0.3680066080639425,16.180719852941174,24.611995676039236,0.05853905265663073,0.02206539113261895,8.75815381652661,13.146283798991243,-0.12678299739558474,-0.23593483576057772,6.731595303746499,13.345090137283666,-0.21623214836556404,0.4695063168203601,16.08262606355042,23.55795708058476,0.10495245148071408,0.4608292385252883,17.79982048319328,25.7053735698883,0.15385260784163157
siglip-so400m-448,L40,artifacts/server/siglip-so400m-448,6,357,0.03560343438847311,0.32503479397066126,16.945517043067227,24.99955060364627,0.02865601955233532,0.023806563225056657,8.73516394432773,12.949388029969263,-0.09328343420502949,-0.23442568608880437,6.739134765624999,13.300862546465947,-0.20818396261725658,0.36462476992275183,17.043314364495796,24.402297855987563,0.03964389255332057,0.41175566696466986,19.040746839985996,26.364375182427352,0.10991158720960814
